,LOTAÇÃO EXERCÍCIO,REM_LIQUIDA,CATEGORIA
0,Gabinete do Senador Veneziano Vital do Rêgo,2553.75,CARGO EM COMISSÃO
2,Escritório de Apoio nº 02 do Senador Acir Gurgacz,2553.75,CARGO EM COMISSÃO
3,Gabinete do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
4,Gabinete da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
6,Gabinete do Senador Acir Gurgacz,2606.42,CARGO EM COMISSÃO
7,Gabinete do Senador Lasier Martins,2589.48,CARGO EM COMISSÃO
10,Gabinete do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
11,Gabinete do Senador Vanderlan Cardoso,2553.75,CARGO EM COMISSÃO
12,Gabinete do Senador Elmano Férrer,1789.43,CARGO EM COMISSÃO
14,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
15,Escritório de Apoio Senadora Maria do Carmo Alves,2567.97,CARGO EM COMISSÃO
16,Escritório de Apoio Senadora Maria do Carmo Alves,2553.75,CARGO EM COMISSÃO
17,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
30,Gabinete do Senador Ciro Nogueira,2553.75,CARGO EM COMISSÃO
31,Gabinete do Senador Renan Calheiros,2606.42,CARGO EM COMISSÃO
33,Gabinete do Senador Flávio Arns,2553.75,CARGO EM COMISSÃO
36,Escritório de Apoio do Senador Jarbas Vasconcelos,2553.75,CARGO EM COMISSÃO
37,Escritório Apoio 1 do Senador Randolfe Rodrigues,2553.75,CARGO EM COMISSÃO
38,Escritório de Apoio do Senador Sérgio Petecão,2553.75,CARGO EM COMISSÃO
39,Escritório de Apoio 1 do Senador Rogério Carvalho,2553.75,CARGO EM COMISSÃO
40,Gabinete do Senador Jayme Campos,2553.75,CARGO EM COMISSÃO
41,Escritório de Apoio do Senador Acir Gurgacz,2567.97,CARGO EM COMISSÃO
46,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
47,Escritório de Apoio do Senador Ciro Nogueira,2553.75,CARGO EM COMISSÃO
48,Escritório de Apoio do Senador Sérgio Petecão,2553.75,CARGO EM COMISSÃO
49,Escritório de Apoio do Senador Ciro Nogueira,2582.19,CARGO EM COMISSÃO
50,Gabinete do Senador Fernando Collor,2567.97,CARGO EM COMISSÃO
52,Escritório de Apoio 1 do Senador Elmano Férrer,2553.75,CARGO EM COMISSÃO
54,Escritório de Apoio do Senador Sérgio Petecão,2553.75,CARGO EM COMISSÃO
58,Gabinete do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
61,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
63,Escritório de Apoio Senadora Maria do Carmo Alves,2553.75,CARGO EM COMISSÃO
82,Gabinete do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
84,Escritório de Apoio 1 do Senador Elmano Férrer,2582.19,CARGO EM COMISSÃO
85,Gabinete da Senadora Rose de Freitas,2549.8,CARGO EM COMISSÃO
86,Gabinete da Senadora Rose de Freitas,0.0,CARGO EM COMISSÃO
90,Escritório de Apoio 1 do Senador Elmano Férrer,2567.97,CARGO EM COMISSÃO
92,Gabinete do Senador Wellington Fagundes,2567.97,CARGO EM COMISSÃO
93,Gabinete da Senadora Maria do Carmo Alves,2553.75,CARGO EM COMISSÃO
94,Escritório de Apoio 1 do Senador Otto Alencar,2553.75,CARGO EM COMISSÃO
95,Gabinete do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
97,Gabinete da Senadora Maria do Carmo Alves,2596.41,CARGO EM COMISSÃO
100,Escritório de Apoio 1 do Senador Roberto Rocha,2553.75,CARGO EM COMISSÃO
108,Escritório de Apoio 1 do Senador Elmano Férrer,2553.75,CARGO EM COMISSÃO
109,Escritório de Apoio 1 do Senador Elmano Férrer,2553.75,CARGO EM COMISSÃO
110,Escritório de Apoio 1 do Senador Paulo Rocha,2553.75,CARGO EM COMISSÃO
112,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
113,Gabinete do Senador Rodrigo Pacheco,2553.75,CARGO EM COMISSÃO
118,Gabinete do Senador Luiz Carlos do Carmo,2553.75,CARGO EM COMISSÃO
119,Escritório de Apoio Senadora Maria do Carmo Alves,2567.97,CARGO EM COMISSÃO
121,Escritório de Apoio 1 do Senador Otto Alencar,2553.75,CARGO EM COMISSÃO
123,Gabinete do Senador Veneziano Vital do Rêgo,2553.75,CARGO EM COMISSÃO
124,Escritório de Apoio do Senador Humberto Costa,2553.75,CARGO EM COMISSÃO
125,Escritório de Apoio do Senador Ciro Nogueira,2553.75,CARGO EM COMISSÃO
126,Gabinete do Senador Acir Gurgacz,2553.75,CARGO EM COMISSÃO
127,Gabinete do Senador Rogério Carvalho,2553.75,CARGO EM COMISSÃO
128,Escritório de Apoio do Senador Fernando Collor,2582.19,CARGO EM COMISSÃO
129,Escritório de Apoio da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
130,Escritório de Apoio do Senador Fernando Collor,2553.75,CARGO EM COMISSÃO
132,Gabinete do Senador Roberto Rocha,2582.19,CARGO EM COMISSÃO
134,Escritório de Apoio do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
135,Escritório de Apoio do Senador Fernando Collor,2567.97,CARGO EM COMISSÃO
136,Escritório Apoio 1 do Senador Randolfe Rodrigues,2553.75,CARGO EM COMISSÃO
137,Escritório de Apoio do Senador Acir Gurgacz,2567.97,CARGO EM COMISSÃO
138,Escritório de Apoio Senadora Maria do Carmo Alves,2553.75,CARGO EM COMISSÃO
140,Escritório de Apoio da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
141,Escritório de Apoio do Senador Sérgio Petecão,2553.75,CARGO EM COMISSÃO
142,Escritório de Apoio do Senador Humberto Costa,2553.75,CARGO EM COMISSÃO
146,Escritório de Apoio do Senador Humberto Costa,2553.75,CARGO EM COMISSÃO
148,Escritório de Apoio do Senador Humberto Costa,2582.19,CARGO EM COMISSÃO
150,Escritório de Apoio do Senador Humberto Costa,770.2,CARGO EM COMISSÃO
151,Escritório de Apoio 1 do Senador Jean Paul Prates,2521.24,CARGO EM COMISSÃO
152,Gabinete do Senador Styvenson Valentim,2553.75,CARGO EM COMISSÃO
156,Escritório de Apoio nº 1 da Senadora Mailza Gomes,2553.75,CARGO EM COMISSÃO
157,Escritório de Apoio do Senador Flávio Arns,2553.75,CARGO EM COMISSÃO
158,Gabinete do Senador Marcos do Val,684.63,CARGO EM COMISSÃO
159,Escritório de Apoio 1 do Senador Marcos do Val,2553.75,CARGO EM COMISSÃO
160,Escritório de Apoio 1 da Senadora Mara Gabrilli,2553.75,CARGO EM COMISSÃO
161,Escritório de Apoio 1 da Senadora Mara Gabrilli,2553.75,CARGO EM COMISSÃO
162,Escritório de Apoio 1 do Senador Eduardo Girão,2553.75,CARGO EM COMISSÃO
163,Escritório de Apoio 1 do Senador Zequinha Marinho,2553.75,CARGO EM COMISSÃO
164,Escritório de Apoio nº 1 do Senador Irajá,2582.19,CARGO EM COMISSÃO
165,Escritório de Apoio 1 do Senador Plínio Valério,2553.75,CARGO EM COMISSÃO
166,Escritório de Apoio do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
167,Gabinete da Senadora Eliziane Gama,2567.97,CARGO EM COMISSÃO
168,Escritório de Apoio 1 da Senadora Eliziane Gama,2553.75,CARGO EM COMISSÃO
169,Escritório de Apoio 1 do Senador Rodrigo Cunha,2553.75,CARGO EM COMISSÃO
170,Escritório de Apoio nº 1 do Senador Eduardo Gomes,2567.97,CARGO EM COMISSÃO
171,Escritório de Apoio 1 do Senador Rogério Carvalho,2553.75,CARGO EM COMISSÃO
172,Escritório de Apoio 1 do Senador Mecias de Jesus,2553.75,CARGO EM COMISSÃO
173,Escritório de Apoio 1 do Senador Rodrigo Cunha,2553.75,CARGO EM COMISSÃO
174,Escritório de Apoio do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
175,Escritório de Apoio do Senador Flávio Arns,2553.75,CARGO EM COMISSÃO
176,Escritório de Apoio 1 do Senador Rodrigo Cunha,2553.75,CARGO EM COMISSÃO
177,Escritório de Apoio 1 da Senadora Mara Gabrilli,2567.97,CARGO EM COMISSÃO
178,Escritório de Apoio 1 do Senador Zequinha Marinho,2553.75,CARGO EM COMISSÃO
179,Gabinete do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
180,Escritório de Apoio 1 do Senador Vanderlan Cardoso,2553.75,CARGO EM COMISSÃO
181,Gabinete do Senador Marcelo Castro,2391.24,CARGO EM COMISSÃO
182,Gabinete do Senador Marcelo Castro,0.0,CARGO EM COMISSÃO
183,Escritório de Apoio 1 do Senador Rodrigo Cunha,2553.75,CARGO EM COMISSÃO
184,Escritório de Apoio 1 do Senador Angelo Coronel,2553.75,CARGO EM COMISSÃO
186,Escritório de Apoio 1 do Senador Otto Alencar,2553.75,CARGO EM COMISSÃO
187,Escritório de Apoio 1 da Senadora Zenaide Maia,2553.75,CARGO EM COMISSÃO
188,Gabinete do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
189,Escritório de Apoio 1 do Senador Zequinha Marinho,2553.75,CARGO EM COMISSÃO
190,Escritório de Apoio do Senador Izalci Lucas,2567.97,CARGO EM COMISSÃO
191,Escritório de Apoio do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
192,Gabinete do Senador Luiz Carlos do Carmo,2553.75,CARGO EM COMISSÃO
193,Gabinete da Senadora Daniella Ribeiro,2582.19,CARGO EM COMISSÃO
194,Escritório de Apoio 1 da Senadora Eliziane Gama,2567.97,CARGO EM COMISSÃO
195,Escritório de Apoio 1 do Senador Esperidião Amin,2553.75,CARGO EM COMISSÃO
196,Gabinete do Senador Vanderlan Cardoso,2553.75,CARGO EM COMISSÃO
198,Gabinete do Senador Luiz Carlos do Carmo,2553.75,CARGO EM COMISSÃO
199,Escritório de Apoio 1 da Senadora Leila Barros,2553.75,CARGO EM COMISSÃO
200,Escritório de Apoio 1 do Senador Lucas Barreto,2553.75,CARGO EM COMISSÃO
201,Escritório de Apoio 1 do Senador Lucas Barreto,2553.75,CARGO EM COMISSÃO
202,Escritório de Apoio 1 da Senadora Leila Barros,2553.75,CARGO EM COMISSÃO
203,Gabinete do Senador Zequinha Marinho,2553.75,CARGO EM COMISSÃO
204,Gabinete do Senador Weverton Rocha,2553.75,CARGO EM COMISSÃO
205,Escritório de Apoio 1 do Senador Lucas Barreto,2553.75,CARGO EM COMISSÃO
207,Escritório de Apoio 1 do Senador Lucas Barreto,2582.19,CARGO EM COMISSÃO
208,Escritório de Apoio 1 da Senadora Zenaide Maia,2553.75,CARGO EM COMISSÃO
209,Escritório de Apoio 1 do Senador Lucas Barreto,2553.75,CARGO EM COMISSÃO
210,Escritório de Apoio 1 do Senador Chico Rodrigues,2553.75,CARGO EM COMISSÃO
212,Escritório Apoio 1 do Senador Randolfe Rodrigues,2553.75,CARGO EM COMISSÃO
