VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO; TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDENCIA;FALTAS;REM_LIQUIDA;DIARIAS;AUXILIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2013;Serviço de Apoio às Contratações de TI;Normal;2867,96;0;0;0;0;0;0;0;-24,23;-261,54;0;2582,19;0;1027;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Escritório de Apoio nº 02 do Senador Acir Gurgacz;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2005;Gabinete do Senador Paulo Paim;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2016;Gabinete da Senadora Kátia Abreu;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Secretaria de Transparência do SF;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1022;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Gabinete do Senador Acir Gurgacz;Normal;2867,96;0;0;0;0;0;0;0;0;-261,54;0;2606,42;0;1179,08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Gabinete do Senador Lasier Martins;Normal;2867,96;0;0;0;0;0;0;0;-16,94;-261,54;0;2589,48;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2013;Primeira-Secretaria;Normal;2902,02;0;0;0;0;0;0;0;-54,91;-265,64;0;2581,47;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2013;Primeira-Secretaria;Suplementar;179,69;0;0;0;0;0;0;0;-11,87;-21,56;0;146,26;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Gabinete do Senador Paulo Paim;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1222,56;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2020;Gabinete do Senador Vanderlan Cardoso;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2011;Gabinete do Senador Elmano Férrer;Normal;1789,43;0;0;0;0;0;0;0;0;0;0;1789,43;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Serviço de Direitos e Deveres Funcionais;Normal;2867,96;0;0;0;0;0;0;0;-24,23;-261,54;0;2582,19;0;1014,68;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Escritório de Apoio do Senador Fernando Collor;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Escritório de Apoio Senadora Maria do Carmo Alves;Normal;2867,96;0;0;0;0;0;0;0;-38,45;-261,54;0;2567,97;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2017;Escritório de Apoio Senadora Maria do Carmo Alves;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2007;Escritório de Apoio do Senador Fernando Collor;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2020;Bloco Parlamentar Senado Independente;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2008;Bloco Parlamentar Vanguarda;Normal;2867,96;0;0;0;0;0;0;0;-38,45;-261,54;0;2567,97;0;1241,7;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2008;Serviço de Atendimento a Beneficiários;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1022;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2008;Conselho Editorial;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2014;Serviço de Almoxarifado de Produtos Gráficos;Normal;2867,96;0;0;0;0;0;0;0;-14,36;-261,54;0;2592,06;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2014;Gabinete Administrativo da SEGP;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;982,28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Serviço de Gestão de Cargos, Salários e Seleção;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1022;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2017;Serviço de Gestão de Estágios;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1007;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Serviço de Arquivo Legislativo;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1037,89;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Serviço de Controle de Frequência;Normal;2867,96;0;0;0;0;0;0;0;-10,01;-261,54;0;2596,41;0;1076,39;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Serviço de Publicação da SEGP;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1098,57;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Serviço de Publicação da SEGP;Normal;2867,96;0;0;0;0;0;0;0;-38,45;-261,54;0;2567,97;0;1337,48;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2019;Gabinete do Senador Ciro Nogueira;Normal;2867,96;0;0;0;0;0;0;0;-52,67;-261,54;0;2553,75;0;1010;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;;;2009;Gabinete do Senador Renan Calheiros;Normal;2867,96;0;0;0;0;0;0;0;0;-261,54;0;2606,42;0;982,28;0
